year,month,day,noaa_ar_no,central_meridian_dist,latitude,carrington_longitude,corr_whole_spot_area,mcintosh,LL,number_of_spots,greenwich,original_central_meridian_dist,original_latitude
2010,1,1,11039,21,-28,54,130,Dai,6,8,Beta,,
2010,1,2,11039,35,-27,54,120,Dso,9,6,Beta,,
2010,1,3,11039,46,-28,52,190,Dso,8,12,Beta,,
2010,1,4,11039,59,-29,52,220,Dso,7,10,Beta,,
2010,1,5,11039,72,-28,52,150,Dso,7,5,Beta,,
2010,1,6,11039,90,-29,56,90,Dro,5,3,Beta,,
2010,1,8,11040,-59,28,241,80,Bxo,5,5,Beta,,
2010,1,9,11040,-47,29,240,40,Bxo,3,4,Beta,,
2010,1,10,11040,-35,30,239,70,Cri,10,10,Beta,,
2010,1,11,11040,-18,30,243,130,Eao,15,15,Beta,,
2010,1,12,11040,-10,29,237,300,Dhc,9,25,Beta,,
2010,1,13,11040,4,28,238,300,Eao,12,25,Beta,,
2010,1,14,11040,11,28,236,380,Eki,13,31,Beta,,
2010,1,15,11040,30,28,238,290,Eki,13,24,Beta,,
2010,1,16,11040,41,29,236,350,Eki,13,16,Beta,,
2010,1,17,11040,57,29,239,290,Cki,12,14,Beta,,
2010,1,18,11040,74,30,242,160,Dso,8,6,Beta,,
2010,1,19,11040,83,26,238,140,Dho,5,4,Beta,,
2010,1,20,11041,-90,-27,52,,None,,,Plage,,
2010,1,21,11041,-77,-25,52,60,Cso,10,6,Beta,,
2010,1,22,11041,-61,-24,55,190,Cao,11,7,Beta,,
2010,1,23,11041,-50,-25,52,200,Eso,14,7,Beta,,
2010,1,23,11042,28,22,130,40,Cso,4,3,Beta,,
2010,1,24,11041,-35,-24,54,190,Eai,11,9,Beta,,
2010,1,24,11042,42,22,131,190,Cao,7,11,Beta,,
2010,1,25,11041,-23,-24,53,170,Dsi,9,7,Beta,,
2010,1,25,11042,56,21,132,160,Dai,6,5,Beta,,
2010,1,26,11041,-12,-25,52,50,Cai,11,11,Beta,,
2010,1,26,11042,73,18,137,50,Cro,3,3,Beta,,
2010,1,27,11041,3,-24,53,60,Dso,4,7,Beta,,
2010,1,27,11042,86,18,136,90,Hsx,5,1,Alpha,,
2010,1,28,11041,16,-25,53,40,Cso,4,5,Beta,,
2010,1,29,11041,32,-26,55,30,Hsx,2,3,Alpha,,
2010,1,30,11041,42,-27,52,20,Bxo,2,2,Beta,,
2010,1,31,11041,58,-27,55,10,Axx,1,1,Alpha,,
2010,1,31,11043,-35,27,322,40,Bxo,3,4,Beta,,
2010,2,1,11043,-24,25,320,60,Dso,5,4,Beta,,
2010,2,1,11041,71,-27,55,,None,,,Plage,,
2010,2,2,11043,-10,25,321,70,Cso,7,6,Beta,,
2010,2,2,11041,84,-27,55,,None,,,Plage,,
2010,2,3,11043,5,25,322,50,Hsx,1,1,Alpha,,
2010,2,4,11043,18,25,322,50,Hsx,6,1,Alpha,,
2010,2,5,11043,33,26,324,20,Hsx,1,1,Alpha,,
2010,2,6,11043,50,24,328,20,Hax,1,1,Alpha,,
2010,2,6,11044,36,18,314,10,Axx,1,1,Alpha,,
2010,2,7,11043,62,25,327,20,Axx,1,1,Alpha,,
2010,2,7,11045,-15,24,250,290,Dkc,8,9,Beta-Gamma,,
2010,2,7,11044,49,18,314,,None,,,Plage,,
2010,2,8,11043,73,23,325,10,Axx,1,1,Alpha,,
2010,2,8,11045,1,23,253,320,Fkc,19,18,Beta-Gamma,,
2010,2,8,11046,-65,25,187,30,Bxo,4,2,Beta,,
2010,2,8,11044,62,18,314,,None,,,Plage,,
2010,2,9,11045,17,23,256,420,Fkc,20,35,Beta-Gamma-Delta,,
2010,2,9,11046,-52,24,186,30,Bxo,10,4,Beta,,
2010,2,9,11047,-70,-15,169,10,Axx,2,2,Alpha,,
2010,2,9,11043,86,23,325,,None,,,Plage,,
2010,2,9,11044,75,18,314,,None,,,Plage,,
2010,2,10,11045,26,23,252,300,Fkc,19,25,Beta-Gamma-Delta,,
