designation,longitude,latitude,strength,eta at east limb,days from east limb,Timestamp,URL
FS-2013-011,186.0,9.2,567,2013-04-23.7,0.7,2013-04-23.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.04.24_12:00:00.txt
FS-2013-012,150.4,-21.7,141,2013-04-26.2,3.2,2013-04-23.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.04.24_12:00:00.txt
FS-2013-011,185.5,9.2,499,2013-04-24.5,0.5,2013-04-24.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.04.25_00:00:00.txt
FS-2013-012,150.5,-21.8,198,2013-04-27.0,3.0,2013-04-24.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.04.25_00:00:00.txt
FS-2013-012,151.1,-21.4,149,2013-04-26.2,1.2,2013-04-25.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.04.25_12:00:00.txt
FS-2013-012,149.6,-21.5,240,2013-04-26.8,0.8,2013-04-26.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.04.26_00:00:00.txt
FS-2013-012,149.1,-21.2,174,2013-04-26.3,0.3,2013-04-26.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.04.26_12:00:00.txt
FS-2013-012,144.8,-20.4,43,2013-04-27.1,0.1,2013-04-27.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.04.27_00:00:00.txt
FS-2013-013,328.0,13.3,563,2013-05-10.7,10.7,2013-04-30.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.04.30_00:00:00.txt
FS-2013-013,326.9,14.1,867,2013-05-10.3,10.3,2013-04-30.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.04.30_12:00:00.txt
FS-2013-013,327.4,14.0,963,2013-05-10.7,9.7,2013-05-01.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.01_00:00:00.txt
FS-2013-013,326.8,14.1,1118,2013-05-10.3,9.3,2013-05-01.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.01_12:00:00.txt
FS-2013-013,326.3,13.9,1150,2013-05-10.8,8.8,2013-05-02.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.02_00:00:00.txt
FS-2013-013,325.4,14.3,1291,2013-05-10.4,8.4,2013-05-02.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.02_12:00:00.txt
FS-2013-013,325.4,13.9,1125,2013-05-10.9,7.9,2013-05-03.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.03_00:00:00.txt
FS-2013-013,325.3,14.2,1155,2013-05-10.4,7.4,2013-05-03.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.03_12:00:00.txt
FS-2013-013,326.1,13.6,987,2013-05-10.8,6.8,2013-05-04.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.04_00:00:00.txt
FS-2013-013,326.3,13.6,1087,2013-05-10.3,6.3,2013-05-04.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.04_12:00:00.txt
FS-2013-013,327.1,13.5,929,2013-05-10.7,5.7,2013-05-05.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.05_00:00:00.txt
FS-2013-013,327.4,13.2,928,2013-05-10.2,5.2,2013-05-05.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.05_12:00:00.txt
FS-2013-013,328.4,13.2,843,2013-05-10.6,4.6,2013-05-06.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.06_00:00:00.txt
FS-2013-013,329.0,12.8,814,2013-05-10.1,4.1,2013-05-06.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.06_12:00:00.txt
FS-2013-013,330.2,13.1,735,2013-05-10.5,3.5,2013-05-07.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.07_00:00:00.txt
FS-2013-013,329.9,13.0,809,2013-05-10.0,3.0,2013-05-07.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.07_12:00:00.txt
FS-2013-013,330.8,13.2,783,2013-05-10.5,2.5,2013-05-08.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.08_00:00:00.txt
FS-2013-013,330.5,13.1,825,2013-05-10.0,2.0,2013-05-08.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.08_12:00:00.txt
FS-2013-013,332.0,13.0,722,2013-05-10.4,1.4,2013-05-09.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.09_00:00:00.txt
FS-2013-013,331.4,12.9,875,2013-05-09.9,0.9,2013-05-09.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.09_12:00:00.txt
FS-2013-013,331.4,13.1,784,2013-05-10.4,0.4,2013-05-10.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.10_00:00:00.txt
FS-2013-013,327.2,13.1,409,2013-05-10.3,0.3,2013-05-10.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.10_12:00:00.txt
FS-2013-013,322.9,14.1,33,2013-05-11.1,0.1,2013-05-11.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.11_00:00:00.txt
FS-2013-014,194.9,11.8,435,2013-05-20.2,9.2,2013-05-11.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.11_12:00:00.txt
FS-2013-014,194.9,11.9,517,2013-05-20.7,8.7,2013-05-12.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.12_00:00:00.txt
FS-2013-014,193.1,12.7,577,2013-05-20.3,8.3,2013-05-12.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.12_12:00:00.txt
FS-2013-014,193.2,12.7,548,2013-05-20.8,7.8,2013-05-13.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.13_00:00:00.txt
FS-2013-014,193.6,15.2,879,2013-05-20.3,7.3,2013-05-13.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.13_12:00:00.txt
FS-2013-015,148.7,-11.4,615,2013-05-23.6,10.6,2013-05-13.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.13_12:00:00.txt
FS-2013-014,195.4,14.8,1034,2013-05-20.7,6.7,2013-05-14.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.14_00:00:00.txt
FS-2013-015,148.6,-11.3,616,2013-05-24.1,10.1,2013-05-14.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.14_00:00:00.txt
FS-2013-014,195.7,15.2,1074,2013-05-20.2,6.2,2013-05-14.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.14_12:00:00.txt
FS-2013-015,148.2,-11.4,998,2013-05-23.6,9.6,2013-05-14.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.14_12:00:00.txt
FS-2013-014,197.3,14.4,834,2013-05-20.6,5.6,2013-05-15.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.15_00:00:00.txt
FS-2013-015,146.9,-10.7,972,2013-05-24.2,9.2,2013-05-15.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.15_00:00:00.txt
FS-2013-014,196.6,15.6,922,2013-05-20.1,5.1,2013-05-15.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.15_12:00:00.txt
FS-2013-015,146.4,-11.0,1207,2013-05-23.8,8.8,2013-05-15.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.15_12:00:00.txt
FS-2013-014,196.4,14.4,889,2013-05-20.6,4.6,2013-05-16.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.16_00:00:00.txt
FS-2013-015,144.0,-10.4,1016,2013-05-24.4,8.4,2013-05-16.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.16_00:00:00.txt
FS-2013-014,196.3,14.1,800,2013-05-20.1,4.1,2013-05-16.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.16_12:00:00.txt
FS-2013-015,143.3,-10.4,1054,2013-05-24.0,8.0,2013-05-16.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.16_12:00:00.txt
FS-2013-014,196.8,12.7,819,2013-05-20.6,3.6,2013-05-17.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.17_00:00:00.txt
FS-2013-015,135.8,-13.2,1573,2013-05-25.1,8.1,2013-05-17.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.17_00:00:00.txt
FS-2013-014,196.9,12.1,672,2013-05-20.1,3.1,2013-05-17.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.17_12:00:00.txt
FS-2013-015,136.1,-12.8,1553,2013-05-24.6,7.6,2013-05-17.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.17_12:00:00.txt
FS-2013-014,197.0,12.6,797,2013-05-20.6,2.6,2013-05-18.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.18_00:00:00.txt
FS-2013-015,133.6,-13.3,1532,2013-05-25.3,7.3,2013-05-18.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.18_00:00:00.txt
FS-2013-014,197.0,12.2,669,2013-05-20.1,2.1,2013-05-18.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.18_12:00:00.txt
FS-2013-015,133.6,-13.0,1425,2013-05-24.8,6.8,2013-05-18.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.18_12:00:00.txt
FS-2013-014,197.1,11.9,747,2013-05-20.6,1.6,2013-05-19.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.19_00:00:00.txt
FS-2013-015,131.5,-13.5,1431,2013-05-25.4,6.4,2013-05-19.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.19_00:00:00.txt
FS-2013-014,197.0,10.8,543,2013-05-20.1,1.1,2013-05-19.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.19_12:00:00.txt
FS-2013-015,131.4,-13.7,1193,2013-05-24.9,5.9,2013-05-19.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.19_12:00:00.txt
FS-2013-014,197.2,10.8,632,2013-05-20.6,0.6,2013-05-20.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.20_00:00:00.txt
FS-2013-015,131.2,-13.7,1095,2013-05-25.5,5.5,2013-05-20.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.20_00:00:00.txt
FS-2013-014,194.4,10.5,338,2013-05-20.3,0.3,2013-05-20.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.20_12:00:00.txt
FS-2013-015,131.1,-14.1,788,2013-05-25.0,5.0,2013-05-20.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.20_12:00:00.txt
FS-2013-014,191.0,10.6,22,2013-05-21.0,0.0,2013-05-21.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.21_00:00:00.txt
FS-2013-015,131.6,-13.8,658,2013-05-25.4,4.4,2013-05-21.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.21_00:00:00.txt
FS-2013-015,132.8,-12.6,382,2013-05-24.8,3.8,2013-05-21.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.21_12:00:00.txt
FS-2013-015,134.0,-11.2,266,2013-05-25.2,3.2,2013-05-22.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.22_00:00:00.txt
FS-2013-015,139.0,-5.9,68,2013-05-24.4,2.4,2013-05-22.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.22_12:00:00.txt
FS-2013-015,139.7,-6.6,43,2013-05-24.8,1.8,2013-05-23.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.23_00:00:00.txt
FS-2013-016,0.6,-8.3,669,2013-06-03.8,8.8,2013-05-26.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.26_12:00:00.txt
FS-2013-016,0.2,-8.7,649,2013-06-04.3,8.3,2013-05-27.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.27_00:00:00.txt
FS-2013-016,0.3,-8.7,599,2013-06-03.8,7.8,2013-05-27.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.27_12:00:00.txt
FS-2013-016,359.7,-8.9,455,2013-06-04.4,7.4,2013-05-28.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.28_00:00:00.txt
FS-2013-016,359.8,-9.0,396,2013-06-03.9,6.9,2013-05-28.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.28_12:00:00.txt
FS-2013-016,360.0,-9.3,269,2013-06-04.4,6.4,2013-05-29.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.29_00:00:00.txt
FS-2013-016,1.3,-9.1,264,2013-06-03.8,5.8,2013-05-29.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.29_12:00:00.txt
FS-2013-016,1.1,-9.1,228,2013-06-04.3,5.3,2013-05-30.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.30_00:00:00.txt
FS-2013-016,1.6,-9.0,218,2013-06-03.7,4.7,2013-05-30.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.30_12:00:00.txt
FS-2013-016,1.0,-9.0,107,2013-06-04.3,4.3,2013-05-31.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.31_00:00:00.txt
FS-2013-016,1.0,-9.4,94,2013-06-03.8,3.8,2013-05-31.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.05.31_12:00:00.txt
FS-2013-017,158.5,-14.1,472,2013-06-19.2,1.2,2013-06-18.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.06.18_12:00:00.txt
FS-2013-017,158.7,-14.2,456,2013-06-19.7,0.7,2013-06-19.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.06.19_00:00:00.txt
FS-2013-017,157.2,-13.9,299,2013-06-19.3,0.3,2013-06-19.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.06.19_12:00:00.txt
FS-2013-017,153.7,-14.5,25,2013-06-20.0,0.0,2013-06-20.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.06.20_00:00:00.txt
FS-2013-018,6.7,-10.5,438,2013-07-01.1,2.1,2013-06-29.0,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.06.29_00:00:00.txt
FS-2013-018,6.7,-10.0,382,2013-06-30.6,1.6,2013-06-29.5,http://jsoc.stanford.edu/data/farside/AR_Lists/2013/AR_LIST_2013.06.29_12:00:00.txt
