designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2011-052,2012-01-01.0,306.4,24.2,293,18,323,30,1228,2012-01-07.4,6.4,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.01_00:00:00.txt
FS-2011-052,2012-01-01.5,305.3,23.9,293,16,320,30,1148,2012-01-07.0,6.0,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.01_12:00:00.txt
FS-2011-052,2012-01-02.0,304.9,23.8,293,16,320,30,1092,2012-01-07.5,5.5,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.02_00:00:00.txt
FS-2011-052,2012-01-02.5,304.8,23.5,293,16,316,30,954,2012-01-07.0,5.0,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.02_12:00:00.txt
FS-2011-052,2012-01-03.0,304.4,23.2,293,18,316,30,824,2012-01-07.5,4.5,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.03_00:00:00.txt
FS-2011-052,2012-01-03.5,306.6,22.0,295,16,315,30,799,2012-01-06.8,3.8,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.03_12:00:00.txt
FS-2011-052,2012-01-04.0,306.2,21.4,295,16,315,30,645,2012-01-07.3,3.3,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.04_00:00:00.txt
FS-2011-052,2012-01-04.5,308.0,21.3,301,16,315,30,535,2012-01-06.7,2.7,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.04_12:00:00.txt
FS-2011-052,2012-01-05.0,308.3,21.8,304,18,314,30,318,2012-01-07.2,2.2,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.05_00:00:00.txt
FS-2011-052,2012-01-05.5,308.6,21.8,304,16,314,30,408,2012-01-06.6,1.6,191,63,127,http://jsoc.stanford.edu/data/farside/AR_Lists/2012/AR_LIST_2012.01.05_12:00:00.txt
