designation,timestamp,center_longitude,center_latitude,minX,minY,maxX,maxY,strength,eta at east limb,days from east limb,center_red,center_green,center_blue,txt_url
FS-2010-001,2010-07-03.0,333.6,19.7,327,14,341,26,465,2010-07-08.6,5.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.03_00:00:00.txt
FS-2010-001,2010-07-03.5,333.1,19.2,327,13,341,26,588,2010-07-08.1,5.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.03_12:00:00.txt
FS-2010-001,2010-07-04.0,333.0,18.8,327,13,341,26,597,2010-07-08.6,4.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.04_00:00:00.txt
FS-2010-001,2010-07-04.5,333.1,18.6,327,12,341,26,562,2010-07-08.1,4.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.04_12:00:00.txt
FS-2010-001,2010-07-05.0,332.8,18.1,327,12,340,26,442,2010-07-08.6,3.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.05_00:00:00.txt
FS-2010-001,2010-07-05.5,333.3,18.3,329,12,339,26,371,2010-07-08.1,3.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.05_12:00:00.txt
FS-2010-001,2010-07-06.0,332.7,18.4,328,14,339,24,334,2010-07-08.6,2.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.06_00:00:00.txt
FS-2010-001,2010-07-06.5,333.0,18.7,328,14,339,24,339,2010-07-08.1,2.1,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.06_12:00:00.txt
FS-2010-001,2010-07-07.0,332.6,18.7,328,14,338,24,260,2010-07-08.6,1.6,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.07_00:00:00.txt
FS-2010-001,2010-07-07.5,334.4,19.2,330,16,341,24,247,2010-07-08.0,1.0,0,0,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.07_12:00:00.txt
FS-2010-001,2010-07-08.0,334.8,19.7,333,18,335,20,160,2010-07-08.4,0.4,8,0,234,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.08_00:00:00.txt
FS-2010-001,2010-07-08.5,332.2,19.9,331,18,333,20,41,2010-07-08.1,0.1,34,0,169,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.08_12:00:00.txt
FS-2010-002,2010-07-16.5,136.0,-22.0,130,-29,144,-15,455,2010-07-23.2,7.2,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.16_12:00:00.txt
FS-2010-002,2010-07-17.0,138.3,-19.9,130,-29,146,-13,456,2010-07-23.5,6.5,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.17_00:00:00.txt
FS-2010-002,2010-07-17.5,137.4,-20.6,130,-29,146,-13,494,2010-07-23.1,6.1,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.17_12:00:00.txt
FS-2010-002,2010-07-18.0,139.6,-18.1,132,-20,146,-12,343,2010-07-23.4,5.4,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.18_00:00:00.txt
FS-2010-002,2010-07-18.5,138.4,-18.3,132,-20,144,-12,278,2010-07-23.0,5.0,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.18_12:00:00.txt
FS-2010-002,2010-07-19.0,139.5,-17.6,132,-20,144,-12,265,2010-07-23.4,4.4,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.19_00:00:00.txt
FS-2010-002,2010-07-19.5,138.5,-17.4,132,-20,144,-12,182,2010-07-23.0,4.0,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.19_12:00:00.txt
FS-2010-002,2010-07-20.0,139.7,-17.3,136,-20,144,-12,100,2010-07-23.4,3.4,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.20_00:00:00.txt
FS-2010-002,2010-07-20.5,139.1,-16.8,136,-18,140,-15,52,2010-07-22.9,2.9,0,127,255,http://jsoc.stanford.edu/data/farside/AR_Lists/2010/AR_LIST_2010.07.20_12:00:00.txt
