fs_name,ns_name,fs_timestamp,ns_timestamp,fs_cen_lon,ns_cen_lon,fs_cen_lat,ns_cen_lat,minX,minY,maxX,maxY,strength
FS-2010-001,11087,2010-07-07.5,2010-07-10,334.4,332.0,19.2,18,330,16,341,24,247
FS-2010-006,11106,2010-09-10.0,2010-09-12,206.6,215.0,-18.4,-18,199,-22,216,-13,519
FS-2011-001,11164,2011-02-24.0,2011-02-26,163.6,162.0,27.0,28,157,23,171,33,513
FS-2011-003,11176,2011-03-21.0,2011-03-23,189.7,198.0,-16.5,-14,181,-22,200,-10,1010
FS-2011-011,11236,2011-06-12.5,2011-06-15,165.5,174.0,18.7,17,156,13,175,26,1267
FS-2011-014,11289,2011-09-05.0,2011-09-07,126.0,129.0,24.1,24,116,19,137,30,776
FS-2011-015,11295,2011-09-10.5,2011-09-13,51.5,56.0,23.6,21,39,16,65,35,1917
FS-2011-016,11301,2011-09-17.0,2011-09-19,326.8,331.0,20.2,21,315,13,339,30,1803
FS-2011-018,11309,2011-09-30.0,2011-10-03,154.7,156.0,25.0,23,143,19,169,37,923
FS-2011-023,11314,2011-10-07.5,2011-10-10,54.1,58.0,23.7,26,39,16,67,33,1781
FS-2011-026,11324,2011-10-16.5,2011-10-18,302.4,306.0,14.0,11,294,9,312,23,927
FS-2011-027,11325,2011-10-18.5,2011-10-20,277.6,278.0,16.8,16,44,10,288,24,549
FS-2011-034,11342,2011-11-04.5,2011-11-06,53.4,60.0,18.5,18,44,7,63,35,994
FS-2011-037,11346,2011-11-10.5,2011-11-13,333.0,338.0,-20.2,-17,326,-25,343,-15,642
FS-2011-042,11355,2011-11-17.0,2011-11-19,249.1,251.0,15.9,14,242,12,256,22,486
FS-2011-045,11366,2011-11-30.0,2011-12-04,63.5,60.0,19.5,17,46,9,85,30,835
FS-2011-050,11388,2011-12-25.0,2011-12-28,104.3,103.0,-24.5,-23,96,-29,113,-17,578
FS-2011-051,11389,2011-12-26.5,2011-12-29,82.4,86.0,-18.8,-20,73,-25,92,-12,861
FS-2012-003,11408,2012-01-20.0,2012-01-22,126.2,132.0,6.8,6,121,2,133,14,377
FS-2012-007,11423,2012-02-21.5,2012-02-24,58.1,57.0,17.2,18,53,14,63,23,275
FS-2012-011,11477,2012-05-07.5,2012-05-09,136.5,144.0,-26.5,-22,130,-29,186,14,432
FS-2012-020,11526,2012-07-18.5,2012-07-21,262.7,268.0,-15.2,-17,256,-20,271,-8,464
FS-2012-019,11529,2012-07-22.0,2012-07-24,210.3,220.0,-15.2,-12,197,-20,223,-6,1174
FS-2012-025,11542,2012-08-05.5,2012-08-07,27.9,31.0,-11.9,-13,21,-18,35,-3,838
FS-2012-028,11564,2012-08-29.5,2012-09-01,64.7,65.0,-14.3,-13,57,-18,72,-8,595
FS-2012-027,11566,2012-09-02.0,2012-09-04,18.6,20.0,21.3,24,14,19,22,26,216
FS-2012-031,11575,2012-09-17.0,2012-09-19,177.8,185.0,8.3,7,168,5,187,15,677
FS-2012-030,11576,2012-09-16.0,2012-09-20,178.7,183.0,-21.3,-22,168,-29,189,-10,1526
FS-2012-034,11589,2012-10-08.0,2012-10-10,263.4,265.0,15.1,13,256,11,271,23,736
FS-2012-036,11591,2012-10-11.0,2012-10-13,222.5,228.0,10.0,7,213,5,230,17,674
FS-2012-035,11593,2012-10-13.5,2012-10-16,187.6,183.0,15.8,17,177,11,198,22,713
FS-2012-040,11614,2012-11-10.0,2012-11-12,192.7,193.0,15.9,15,186,13,198,22,404
FS-2012-041,11633,2012-12-13.5,2012-12-16,104.0,109.0,-10.8,-7,94,-18,113,-3,801
FS-2012-045,11642,2012-12-30.0,2013-01-01,252.8,255.0,-24.5,-24,245,-27,259,-19,405
FS-2013-014,11755,2013-05-19.5,2013-05-22,197.0,204.0,10.8,10,192,5,205,17,543
FS-2013-017,11777,2013-06-18.5,2013-06-21,158.5,165.0,-14.1,-16,152,-18,166,-8,472
FS-2013-018,11785,2013-06-30.5,2013-07-02,5.8,9.0,-10.5,-9,1,-15,11,-4,355
FS-2013-027,11835,2013-08-24.0,2013-08-25,10.0,10.0,-8.8,-9,3,-11,15,-2,457
FS-2013-029,11850,2013-09-18.5,2013-09-20,24.3,31.0,11.9,9,16,7,33,19,693
FS-2013-032,11877,2013-10-17.5,2013-10-19,2.1,9.0,-12.3,-11,1,-15,10,-6,634
FS-2013-033,11885,2013-10-24.0,2013-10-27,258.7,264.0,-17.7,-17,251,-22,267,-10,627
FS-2013-039,11897,2013-11-09.0,2013-11-12,63.8,63.0,-15.8,-18,55,-20,71,-10,694
FS-2013-036,11899,2013-11-11.5,2013-11-13,33.7,37.0,6.4,6,24,1,43,15,1352
FS-2013-043,11912,2013-12-01.0,2013-12-03,136.9,145.0,-22.6,-21,130,-25,146,-17,398
FS-2013-045,11920,2013-12-08.0,2013-12-10,39.1,47.0,9.1,12,28,1,51,23,1813
FS-2013-046,11931,2013-12-17.5,2013-12-19,273.3,284.0,-12.0,-14,260,-20,289,-1,1915
FS-2013-050,11936,2013-12-22.0,2013-12-24,220.1,223.0,-17.3,-17,213,-20,227,-12,409
FS-2013-051,11944,2013-12-30.0,2014-01-02,92.5,101.0,-9.7,-7,73,-18,110,-1,2438
